name,type,url,regionTag,categoryTag,priority,isActive,fetchIntervalMinutes,crawlConfig
"中国海洋大学-招生快讯","HTML","https://bkzs.ouc.edu.cn/7210/list.htm","CN","招生快讯",3,false,60,"{""listUrls"":[""https://bkzs.ouc.edu.cn/7210/list.htm""],""detailPattern"":""https://bkzs\\.ouc\\.edu\\.cn/7210/.*"",""selectors"":{}}"
"中国海洋大学-信息公开","HTML","https://bkzs.ouc.edu.cn/xxgk_17825/list.htm","CN","信息公开",3,false,60,"{""listUrls"":[""https://bkzs.ouc.edu.cn/xxgk_17825/list.htm""],""detailPattern"":""https://bkzs\\.ouc\\.edu\\.cn/xxgk_17825/.*"",""selectors"":{}}"
"中国科学技术大学-通知公告","HTML","https://zsb.ustc.edu.cn/tzgg/list.htm","CN","通知公告",3,false,60,"{""listUrls"":[""https://zsb.ustc.edu.cn/tzgg/list.htm""],""detailPattern"":""https://zsb\\.ustc\\.edu\\.cn/tzgg/.*"",""selectors"":{}}"
"中国农业大学-通知公告","HTML","https://jwzs.cau.edu.cn/col/col4528/index.html","CN","通知公告",3,false,60,"{""listUrls"":[""https://jwzs.cau.edu.cn/col/col4528/index.html""],""detailPattern"":""https://jwzs\\.cau\\.edu\\.cn/col/col4528/.*"",""selectors"":{}}"
"中国人民大学-通知公告","HTML","https://rdzs.ruc.edu.cn/cms/item/?cat=72&parent=1","CN","通知公告",3,false,60,"{""listUrls"":[""https://rdzs.ruc.edu.cn/cms/item/?cat=72&parent=1""],""detailPattern"":""https://rdzs\\.ruc\\.edu\\.cn/cms/item/.*"",""selectors"":{}}"
"中南大学-招生简章","HTML","https://zhaosheng.csu.edu.cn/zsjz/zsjz.htm","CN","招生简章",3,false,60,"{""listUrls"":[""https://zhaosheng.csu.edu.cn/zsjz/zsjz.htm""],""detailPattern"":""https://zhaosheng\\.csu\\.edu\\.cn/zsjz/.*"",""selectors"":{}}"
"中南大学-招生资讯","HTML","https://zhaosheng.csu.edu.cn/zszx/zszx.htm","CN","招生资讯",3,false,60,"{""listUrls"":[""https://zhaosheng.csu.edu.cn/zszx/zszx.htm""],""detailPattern"":""https://zhaosheng\\.csu\\.edu\\.cn/zszx/.*"",""selectors"":{}}"
"中山大学-最新公告","HTML","https://admission.sysu.edu.cn/f/newsCenter/articles/525eb0693a6f4d3a879957b64d214e9c","CN","最新公告",3,false,60,"{""listUrls"":[""https://admission.sysu.edu.cn/f/newsCenter/articles/525eb0693a6f4d3a879957b64d214e9c""],""detailPattern"":""https://admission\\.sysu\\.edu\\.cn/f/newsCenter/articles/.*"",""selectors"":{}}"
"中山大学-政策解读","HTML","https://admission.sysu.edu.cn/f/newsCenter/articles/2932f0e1d1f24d5fa2bfcd5d40aeb9ac","CN","政策解读",3,false,60,"{""listUrls"":[""https://admission.sysu.edu.cn/f/newsCenter/articles/2932f0e1d1f24d5fa2bfcd5d40aeb9ac""],""detailPattern"":""https://admission\\.sysu\\.edu\\.cn/f/newsCenter/articles/.*"",""selectors"":{}}"
"中央民族大学-通知公告","HTML","https://zb.muc.edu.cn/content/zs/9a649c21-f0cf-11ee-a4af-00163e36a0b0.htm","CN","通知公告",3,false,60,"{""listUrls"":[""https://zb.muc.edu.cn/content/zs/9a649c21-f0cf-11ee-a4af-00163e36a0b0.htm""],""detailPattern"":""https://zb\\.muc\\.edu\\.cn/content/zs/.*"",""selectors"":{}}"
